Source,Date,kwh
consumer_device_10_data_user_1,2024-07-22,0.0243301524166643
consumer_device_10_data_user_1,2024-07-23,0.10355964899999259
consumer_device_10_data_user_1,2024-07-24,0.13754253833332428
consumer_device_10_data_user_1,2024-07-25,0.1210108384166573
consumer_device_10_data_user_1,2024-07-26,0.0
consumer_device_10_data_user_1,2024-07-27,0.0
consumer_device_10_data_user_1,2024-07-28,0.5062076145833267
consumer_device_10_data_user_1,2024-07-29,0.16224065333333332
consumer_device_10_data_user_1,2024-07-30,1.3618397769999993
consumer_device_10_data_user_1,2024-07-31,0.014253664499998433
consumer_device_10_data_user_1,2024-08-01,0.0
consumer_device_10_data_user_1,2024-08-02,0.0090432012499996
consumer_device_10_data_user_1,2024-08-03,0.0
consumer_device_10_data_user_1,2024-08-04,0.0
consumer_device_10_data_user_1,2024-08-05,0.0
consumer_device_10_data_user_1,2024-08-06,0.0
consumer_device_10_data_user_1,2024-08-07,0.0
consumer_device_10_data_user_1,2024-08-08,0.0
consumer_device_10_data_user_1,2024-08-09,0.0
consumer_device_10_data_user_1,2024-08-10,0.0208702119999984
consumer_device_10_data_user_1,2024-08-11,0.0009041872499999
consumer_device_10_data_user_1,2024-08-12,0.0016645832499997998
consumer_device_10_data_user_1,2024-08-13,0.0016703857499998
consumer_device_10_data_user_1,2024-08-14,1.2637923449166664
consumer_device_10_data_user_1,2024-08-15,2.0438874452499993
consumer_device_10_data_user_1,2024-08-16,0.1702164999166621
consumer_device_10_data_user_1,2024-08-17,0.0053461929999996
consumer_device_10_data_user_1,2024-08-18,0.1164836005833319
consumer_device_10_data_user_1,2024-08-19,0.0210027867499987
consumer_device_10_data_user_1,2024-08-20,0.041696982249996
consumer_device_10_data_user_1,2024-08-21,0.0
consumer_device_10_data_user_1,2024-08-22,0.0
consumer_device_10_data_user_1,2024-08-23,0.0334129418333312
consumer_device_10_data_user_1,2024-08-24,0.0842593222499955
consumer_device_10_data_user_1,2024-08-25,0.08373546416666271
consumer_device_10_data_user_1,2024-08-26,0.1555883503333282
consumer_device_10_data_user_1,2024-08-27,15.84809657316666
consumer_device_10_data_user_1,2024-08-28,0.2074148986666587
consumer_device_10_data_user_1,2024-08-29,18.81689684774999
consumer_device_10_data_user_1,2024-08-30,9.15832005124999
consumer_device_10_data_user_1,2024-08-31,19.128525265999993
consumer_device_10_data_user_1,2024-09-01,8.215966488499996
consumer_device_10_data_user_1,2024-09-02,3.8048710452499983
consumer_device_10_data_user_1,2024-09-03,0.0545863129166637
consumer_device_10_data_user_1,2024-09-04,0.3215800624166545
consumer_device_10_data_user_1,2024-09-05,0.3414265619166552
consumer_device_10_data_user_1,2024-09-06,0.2806501848333233
consumer_device_10_data_user_1,2024-09-07,3.5971758679166568
consumer_device_10_data_user_1,2024-09-08,14.457180903499994
consumer_device_10_data_user_1,2024-09-09,15.684799723416658
consumer_device_10_data_user_1,2024-09-10,0.1760740019166587
consumer_device_10_data_user_1,2024-09-11,0.2525185759999896
consumer_device_10_data_user_1,2024-09-12,0.2811907516666544
consumer_device_10_data_user_1,2024-09-13,0.2698740389166547
consumer_device_10_data_user_1,2024-09-14,0.2995691267499887
consumer_device_10_data_user_1,2024-09-15,0.2831178441666559
consumer_device_10_data_user_1,2024-09-16,0.2894133082499891
consumer_device_10_data_user_1,2024-09-17,10.100918615166657
consumer_device_10_data_user_1,2024-09-18,18.872047715916658
consumer_device_10_data_user_1,2024-09-19,0.2329957061666552
consumer_device_10_data_user_1,2024-09-20,0.2476403422499904
consumer_device_10_data_user_1,2024-09-21,0.0441855042499978
consumer_device_10_data_user_1,2024-09-22,0.1778457554999896
consumer_device_10_data_user_1,2024-09-23,0.2608191574999879
consumer_device_10_data_user_10,2024-07-22,2.8974947857499984
consumer_device_10_data_user_10,2024-07-23,3.062351112916659
consumer_device_10_data_user_10,2024-07-24,0.1121367929999906
consumer_device_10_data_user_10,2024-07-25,1.0138755033333229
consumer_device_10_data_user_10,2024-07-26,0.0
consumer_device_10_data_user_10,2024-07-27,0.0
consumer_device_10_data_user_10,2024-07-28,0.6524946233333275
consumer_device_10_data_user_10,2024-07-29,0.0003260933333333
consumer_device_10_data_user_10,2024-07-30,0.0111850725833321
consumer_device_10_data_user_10,2024-07-31,0.0192169044166657
consumer_device_10_data_user_10,2024-08-01,0.0
consumer_device_10_data_user_10,2024-08-02,0.0059258082499996
consumer_device_10_data_user_10,2024-08-03,0.0
consumer_device_10_data_user_10,2024-08-04,0.0
consumer_device_10_data_user_10,2024-08-05,0.0
consumer_device_10_data_user_10,2024-08-06,0.0
consumer_device_10_data_user_10,2024-08-07,0.0
consumer_device_10_data_user_10,2024-08-08,0.0
consumer_device_10_data_user_10,2024-08-09,0.0
consumer_device_10_data_user_10,2024-08-10,4.556052016249998
consumer_device_10_data_user_10,2024-08-11,0.2183044646666665
consumer_device_10_data_user_10,2024-08-12,0.35604653549999987
consumer_device_10_data_user_10,2024-08-13,0.0013754719999999
consumer_device_10_data_user_10,2024-08-14,0.0040911759999999
consumer_device_10_data_user_10,2024-08-15,0.010197043333333
consumer_device_10_data_user_10,2024-08-16,0.0740630766666627
consumer_device_10_data_user_10,2024-08-17,1.2575197834999994
consumer_device_10_data_user_10,2024-08-18,0.3339522406666659
consumer_device_10_data_user_10,2024-08-19,0.1535501846666652
consumer_device_10_data_user_10,2024-08-20,6.00454433608333
consumer_device_10_data_user_10,2024-08-21,0.0
consumer_device_10_data_user_10,2024-08-22,0.0
consumer_device_10_data_user_10,2024-08-23,0.024153924666664498
consumer_device_10_data_user_10,2024-08-24,0.8316636404166623
consumer_device_10_data_user_10,2024-08-25,1.5102478545833296
consumer_device_10_data_user_10,2024-08-26,12.543021098249993
consumer_device_10_data_user_10,2024-08-27,0.3257821070833264
consumer_device_10_data_user_10,2024-08-28,22.76629790808332
consumer_device_10_data_user_10,2024-08-29,4.053415164083325
consumer_device_10_data_user_10,2024-08-30,19.737928175083326
consumer_device_10_data_user_10,2024-08-31,0.1678536928333275
consumer_device_10_data_user_10,2024-09-01,1.23086113533333
consumer_device_10_data_user_10,2024-09-02,0.419318040583332
consumer_device_10_data_user_10,2024-09-03,3.7878522010833295
consumer_device_10_data_user_10,2024-09-04,0.2711261802499882
consumer_device_10_data_user_10,2024-09-05,0.2695150250833227
consumer_device_10_data_user_10,2024-09-06,0.2151087097499901
consumer_device_10_data_user_10,2024-09-07,0.1560812459999919
consumer_device_10_data_user_10,2024-09-08,0.070592609749994
consumer_device_10_data_user_10,2024-09-09,9.319704809999992
consumer_device_10_data_user_10,2024-09-10,20.598435940416657
consumer_device_10_data_user_10,2024-09-11,28.964094129416655
consumer_device_10_data_user_10,2024-09-12,31.185154243749988
consumer_device_10_data_user_10,2024-09-13,39.797983960166654
consumer_device_10_data_user_10,2024-09-14,36.662012981166654
consumer_device_10_data_user_10,2024-09-15,37.405108977583325
consumer_device_10_data_user_10,2024-09-16,32.71209876583332
consumer_device_10_data_user_10,2024-09-17,20.156893427583324
consumer_device_10_data_user_10,2024-09-18,1.2338636117499902
consumer_device_10_data_user_10,2024-09-19,0.2016584911666567
consumer_device_10_data_user_10,2024-09-20,0.1838133434166587
consumer_device_10_data_user_10,2024-09-21,8.723314943166663
consumer_device_10_data_user_10,2024-09-22,12.67939838099999
consumer_device_10_data_user_10,2024-09-23,0.2263211993333215
consumer_device_10_data_user_11,2024-07-22,2.1366090536666644
consumer_device_10_data_user_11,2024-07-23,11.550528609166658
consumer_device_10_data_user_11,2024-07-24,15.89758387549999
consumer_device_10_data_user_11,2024-07-25,14.614183419999991
consumer_device_10_data_user_11,2024-07-26,0.0
consumer_device_10_data_user_11,2024-07-27,0.0
consumer_device_10_data_user_11,2024-07-28,2.2786354696666584
consumer_device_10_data_user_11,2024-07-29,0.10708685099999979
consumer_device_10_data_user_11,2024-07-30,0.3404817175833321
consumer_device_10_data_user_11,2024-07-31,0.240971422666665
consumer_device_10_data_user_11,2024-08-01,0.0
consumer_device_10_data_user_11,2024-08-02,0.8162751016666658
consumer_device_10_data_user_11,2024-08-03,0.0
consumer_device_10_data_user_11,2024-08-04,0.0
consumer_device_10_data_user_11,2024-08-05,0.0
consumer_device_10_data_user_11,2024-08-06,0.0
consumer_device_10_data_user_11,2024-08-07,0.0
consumer_device_10_data_user_11,2024-08-08,0.0
consumer_device_10_data_user_11,2024-08-09,0.0
consumer_device_10_data_user_11,2024-08-10,3.1448589075833313
consumer_device_10_data_user_11,2024-08-11,0.0795445080833333
consumer_device_10_data_user_11,2024-08-12,0.2083574273333332
consumer_device_10_data_user_11,2024-08-13,0.3876506623333332
consumer_device_10_data_user_11,2024-08-14,0.4383465999999996
consumer_device_10_data_user_11,2024-08-15,0.5140138749999993
consumer_device_10_data_user_11,2024-08-16,5.209643208333328
consumer_device_10_data_user_11,2024-08-17,0.0071656264166663
consumer_device_10_data_user_11,2024-08-18,0.7985242361666653
consumer_device_10_data_user_11,2024-08-19,0.29559595316666565
consumer_device_10_data_user_11,2024-08-20,7.434316387666662
consumer_device_10_data_user_11,2024-08-21,0.0
consumer_device_10_data_user_11,2024-08-22,0.0
